Domaine;Catégorie;Sous cat;Poste;sous poste;;;Sous poste nouveau;Poste nouveau
Non énergétique;Autres GES hors Kyoto;CFC / HCFC;Rejets dans l'atmosphère;Quantité totale rejetée;;;émissions procédés + émissions froid;Autres émissions non énergétiques
Non énergétique;Halocarbures Kyoto;PFC;Rejets dans l'atmosphère;Qantité totale rejetée;;;émissions procédés + émissions froid;Autres émissions non énergétiques
Non énergétique;Autres GES hors Kyoto;Autres gaz;Rejets dans l'atmosphère;Quantité totale rejetée;;;émissions procédés + émissions froid;Autres émissions non énergétiques
Terrains;Changement d'usage des sols;Emission de carbone;Tous types;Surface totale;;;Emissions liées au changement d'affection des sols (CAS);Autres émissions non énergétiques
Terrains;Forêts;France;Tous types;Surface totale;;;N/A;N/A
Terrains;Changement d'usage des sols;Séquestration de carbone;Tous types;Surface totale;;;Emissions liées au changement d'affection des sols (CAS);Autres émissions non énergétiques
Transports de marchandises;Entrant;Aérien;Prestation transport;Total kg de CO2;;;Fret entrant;Fret
Transports de marchandises;Entrant;Aérien;Court courrier;Consommation de carburant;;;Fret entrant;Fret
Transports de marchandises;Entrant;Aérien;Court courrier;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Aérien;Moyen courrier;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Aérien;Moyen courrier;Consommation de carburant;;;Fret entrant;Fret
Transports de marchandises;Entrant;Aérien;Long courrier;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Aérien;Long courrier;Consommation de carburant;;;Fret entrant;Fret
Transports de marchandises;Entrant;Ferroviaire;Electrique;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Ferroviaire;Electrique;Estimations en véhicules.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Ferroviaire;Thermique;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Ferroviaire;Thermique;Estimations en véhicules.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Ferroviaire;Mixte;Estimations en véhicules.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Ferroviaire;Mixte;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Porte-Conteneurs;Estimations en véhicules.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Porte-Conteneurs;Consommation de carburant;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Porte-Conteneurs;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Vraquiers;Estimations en véhicules.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Vraquiers;Consommation de carburant;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Vraquiers;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Pétrolier;Estimation véhicule.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Pétrolier;Consommation de carburant;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Pétrolier;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Cargo;Estimation véhicule.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Cargo;Consommation de carburant;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Cargo;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Ferry;Estimation véhicule.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Ferry;Consommation de carburant;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Ferry;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Gazier;Estimation véhicule.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Gazier;Consommation de carburant;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Gazier;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Roulier;Estimations en véhicules.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Roulier;Consommation de carburant;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Roulier;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Maritime;Prestation transport;Total kg de CO2;;;Fret entrant;Fret
Transports de marchandises;Entrant;Fluvial;Prestation transport;Total kg de CO2;;;Fret entrant;Fret
Transports de marchandises;Entrant;Fluvial;Automoteur;Estimation véhicule.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Fluvial;Automoteur;Consommation de carburant;;;Fret entrant;Fret
Transports de marchandises;Entrant;Fluvial;Automoteur;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Fluvial;Pousseur;Consommation de carburant;;;Fret entrant;Fret
Transports de marchandises;Entrant;Fluvial;Pousseur;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Fluvial;Pousseur;Estimation véhicule.km;;;Fret entrant;Fret
Transports de marchandises;Sortant;Routier;Prestation transport;Total kg de CO2;;;Fret sortant;Fret
Transports de marchandises;Sortant;Routier;Tous;Estimations en m3.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Routier;Tous;Consommation de carburant;;;Fret sortant;Fret
Transports de marchandises;Sortant;Routier;Tous;Estimations en tonnes.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Routier;Tous;Estimations en véhicule.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Aérien;Prestation transport;Total kg de CO2;;;Fret sortant;Fret
Transports de marchandises;Sortant;Aérien;Court courrier;Consommation de carburant;;;Fret sortant;Fret
Transports de marchandises;Sortant;Aérien;Court courrier;Estimations en tonnes.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Aérien;Moyen courrier;Consommation de carburant;;;Fret sortant;Fret
Transports de marchandises;Sortant;Aérien;Moyen courrier;Estimations en tonnes.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Aérien;Long courrier;Consommation de carburant;;;Fret sortant;Fret
Transports de marchandises;Sortant;Aérien;Long courrier;Estimations en tonnes.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Ferroviaire;Prestation transport;Total kg de CO2;;;Fret sortant;Fret
Transports de marchandises;Sortant;Ferroviaire;Electrique;Estimations en véhicules.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Ferroviaire;Electrique;Consommation d'électricité;;;Fret sortant;Fret
Transports de marchandises;Sortant;Ferroviaire;Thermique;Estimations en véhicules.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Ferroviaire;Thermique;Consommation de carburant;;;Fret sortant;Fret
Transports de marchandises;Sortant;Ferroviaire;Mixte;Estimations en véhicules.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Ferroviaire;Mixte;Estimations en tonnes.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Prestation transport;Total kg de CO2;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Cargo;Estimation véhicule.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Cargo;Consommation de carburant;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Cargo;Estimations en tonnes.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Porte-Conteneurs;Estimations en véhicules.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Porte-Conteneurs;Estimations en tonnes.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Vraquiers;Estimations en véhicules.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Vraquiers;Consommation de carburant;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Vraquiers;Estimations en tonnes.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Roulier;Estimations en véhicules.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Roulier;Consommation de carburant;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Roulier;Estimations en tonnes.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Gazier;Estimation véhicule.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Gazier;Consommation de carburant;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Gazier;Estimations en tonnes.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Pétrolier;Estimation véhicule.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Pétrolier;Consommation de carburant;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Pétrolier;Estimations en tonnes.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Ferry;Estimation véhicule.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Ferry;Consommation de carburant;;;Fret sortant;Fret
Transports de marchandises;Sortant;Maritime;Ferry;Estimations en tonnes.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Fluvial;Prestation transport;Total kg de CO2;;;Fret sortant;Fret
Transports de marchandises;Sortant;Fluvial;Automoteur;Estimation véhicule.km;;;Fret sortant;Fret
Transports de marchandises;Interne;Maritime;Roulier;Consommation de carburant;;;Fret interne;Fret
Transports de marchandises;Sortant;Fluvial;Automoteur;Consommation de carburant;;;Fret sortant;Fret
Transports de marchandises;Sortant;Fluvial;Automoteur;Estimations en tonnes.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Fluvial;Pousseur;Estimation véhicule.km;;;Fret sortant;Fret
Transports de marchandises;Sortant;Fluvial;Pousseur;es;;;Fret sortant;Fret
Transports de marchandises;Sortant;Fluvial;Pousseur;Consommation de carburant;;;Fret sortant;Fret
Transports de marchandises;Interne;Routier;Prestation transport;Total kg de CO2;;;Fret interne;Fret
Transports de marchandises;Interne;Routier;Tous;Estimations en véhicule.km;;;Fret interne;Fret
Transports de marchandises;Interne;Routier;Tous;Estimations en m3.km;;;Fret interne;Fret
Transports de marchandises;Interne;Routier;Tous;Consommation de carburant;;;Fret interne;Fret
Transports de marchandises;Interne;Routier;Tous;Estimations en tonnes.km;;;Fret interne;Fret
Transports de marchandises;Interne;Aérien;Prestation transport;Total kg de CO2;;;Fret interne;Fret
Transports de marchandises;Interne;Aérien;Court courrier;Consommation de carburant;;;Fret interne;Fret
Transports de marchandises;Interne;Aérien;Court courrier;Estimations en tonnes.km;;;Fret interne;Fret
Transports de marchandises;Interne;Aérien;Moyen courrier;Consommation de carburant;;;Fret interne;Fret
Transports de marchandises;Interne;Aérien;Moyen courrier;Estimations en tonnes.km;;;Fret interne;Fret
Transports de marchandises;Interne;Aérien;Long courrier;Consommation de carburant;;;Fret interne;Fret
Transports de marchandises;Interne;Aérien;Long courrier;Estimations en tonnes.km;;;Fret interne;Fret
Transports de marchandises;Interne;Ferroviaire;Prestation transport;Total kg de CO2;;;Fret interne;Fret
Transports de marchandises;Interne;Ferroviaire;Electrique;Estimations en véhicules.km;;;Fret interne;Fret
Transports de marchandises;Interne;Ferroviaire;Electrique;Consommation d'électricité;;;Fret interne;Fret
Transports de marchandises;Interne;Ferroviaire;Thermique;Estimations en véhicules.km;;;Fret interne;Fret
Transports de marchandises;Interne;Ferroviaire;Thermique;Consommation de carburant;;;Fret interne;Fret
Transports de marchandises;Interne;Ferroviaire;Mixte;Estimations en véhicules.km;;;Fret interne;Fret
Transports de marchandises;Interne;Ferroviaire;Mixte;Estimations en tonnes.km;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Prestation transport;Total kg de CO2;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Pétrolier;Estimation véhicule.km;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Pétrolier;Consommation de carburant;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Pétrolier;Estimations en tonnes.km;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Porte-Conteneurs;Estimations en véhicules.km;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Porte-Conteneurs;Consommation de carburant;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Porte-Conteneurs;Estimations en tonnes.km;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Vraquiers;Estimations en véhicules.km;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Vraquiers;Consommation de carburant;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Vraquiers;Estimations en tonnes.km;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Gazier;Estimation véhicule.km;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Gazier;Consommation de carburant;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Gazier;Estimations en tonnes.km;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Cargo;Estimation véhicule.km;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Cargo;Consommation de carburant;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Cargo;Estimations en tonnes.km;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Ferry;Estimation véhicule.km;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Ferry;Consommation de carburant;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Ferry;Estimations en tonnes.km;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Roulier;Estimations en véhicules.km;;;Fret interne;Fret
Transports de marchandises;Interne;Maritime;Roulier;Estimations en tonnes.km;;;Fret interne;Fret
Transports de marchandises;Interne;Fluvial;Prestation transport;Total kg de CO2;;;Fret interne;Fret
Transports de marchandises;Interne;Fluvial;Pousseur;Estimation véhicule.km;;;Fret interne;Fret
Transports de marchandises;Interne;Fluvial;Pousseur;Consommation de carburant;;;Fret interne;Fret
Transports de marchandises;Interne;Fluvial;Pousseur;Estimations en tonnes.km;;;Fret interne;Fret
Transports de marchandises;Interne;Fluvial;Automoteur;Estimation véhicule.km;;;Fret interne;Fret
Transports de marchandises;Interne;Fluvial;Automoteur;Consommation de carburant;;;Fret interne;Fret
Transports de marchandises;Interne;Fluvial;Automoteur;Estimations en tonnes.km;;;Fret interne;Fret
Transports de marchandises;Tous transports;Non énergétique;Fuites gaz frigorigènes (climatisation et froid);Recharges de gaz;;;N/A;N/A
Transports de marchandises;Sortant;Maritime;Porte-Conteneurs;Consommation de carburant;;;Fret sortant;Fret
Transports de marchandises;Entrant;Ferroviaire;Prestation transport;Total kg de CO2;;;Fret entrant;Fret
Transports de marchandises;Entrant;Routier;Tous;Estimations en véhicule.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Routier;Tous;Estimations en tonnes.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Routier;Tous;Estimations en m3.km;;;Fret entrant;Fret
Transports de marchandises;Entrant;Routier;Tous;Consommation de carburant;;;Fret entrant;Fret
Transports de marchandises;Entrant;Routier;Prestation transport;Total kg de CO2;;;Fret entrant;Fret
Transports de personnes;Employés;Domicile travail;Autobus urbains;Distances parcourues par passager;;;Déplacements domicile travail;Déplacements
Transports de personnes;Employés;Domicile travail;Moto;Distances parcourues;;;Déplacements domicile travail;Déplacements
Transports de personnes;Employés;Domicile travail;Moto;Consommations de carburants;;;Déplacements domicile travail;Déplacements
Transports de personnes;Employés;Domicile travail;Train;Distances parcourues par passager;;;Déplacements domicile travail;Déplacements
Transports de personnes;Employés;Domicile travail;Metro / tramway;Distances parcourues par passager;;;Déplacements domicile travail;Déplacements
Transports de personnes;Employés;Domicile travail;Moyennes;Nombre d'actifs;;;Déplacements domicile travail;Déplacements
Transports de personnes;Employés;Domicile travail;Cars interurbains;Distances parcourues par passager;;;Déplacements domicile travail;Déplacements
Transports de personnes;Visiteurs et clients;Autres visiteurs;Métro/tramway;Distances parcourues par passager;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Autres visiteurs;Moto;Distances parcourues par véhicule;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Autres visiteurs;Bateau;Distances parcourues par passager;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Autres visiteurs;Train;Distances parcourues par passager;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Autres visiteurs;Moto;Consommations de carburants;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Autres visiteurs;Avion;Distances parcourues par passager;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Autres visiteurs;Autobus urbains;Distances parcourues par passager;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Autres visiteurs;Cars interurbains;Distances parcourues par passager;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Autres visiteurs;Voiture;Distances parcourues par véhicule;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Autres visiteurs;Voiture;Consommations de carburants;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Autres visiteurs;Voiture;Distances parcourues par passager;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Autres visiteurs;Voiture;Estimation véhicule.km;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Clients;Métro/tramway;Distances parcourues par passager;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Clients;Train;Distances parcourues par passager;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Clients;Avion;Distances parcourues par passager;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Clients;Cars interurbains;Distances parcourues par passager;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Clients;Cars interurbains;Consommation de carburant;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Clients;Autobus urbains;Distances parcourues par passager;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Clients;Autobus urbains;Consommation de carburant;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Clients;Bateau;Distances parcourues par passager;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Clients;Voiture;Distances parcourues par véhicule;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Clients;Voiture;Consommations de carburants;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Clients;Voiture;Distances parcourues par passager;;;Déplacements visiteurs;Déplacements
Transports de personnes;Visiteurs et clients;Clients;Moto;Consommations de carburants;;;Déplacements visiteurs;Déplacements
Transports de personnes;Employés;Professionnels;Métro/tramway;Distances parcourues par passager;;;Déplacements des employés dans la cadre du travail;Déplacements
Transports de personnes;Employés;Professionnels;Moto;Consommations de carburants;;;Déplacements des employés dans la cadre du travail;Déplacements
Transports de personnes;Employés;Professionnels;Moto;Distances parcourues;;;Déplacements des employés dans la cadre du travail;Déplacements
Transports de personnes;Employés;Domicile travail;Voiture;Distances parcourues par passager;;;Déplacements domicile travail;Déplacements
Transports de personnes;Employés;Professionnels;Avion;Distances parcourues par passager;;;Déplacements des employés dans la cadre du travail;Déplacements
Transports de personnes;Employés;Professionnels;Avion;Consommations de carburants;;;Déplacements des employés dans la cadre du travail;Déplacements
Transports de personnes;Employés;Professionnels;Voiture;Distances parcourues par véhicule;;;Déplacements des employés dans la cadre du travail;Déplacements
Transports de personnes;Employés;Professionnels;Voiture;Consommations de carburants;;;Déplacements des employés dans la cadre du travail;Déplacements
Transports de personnes;Employés;Professionnels;Voiture;Distances parcourues par passager;;;Déplacements des employés dans la cadre du travail;Déplacements
Transports de personnes;Employés;Professionnels;Car interurbains;Distances parcourues par passager;;;Déplacements des employés dans la cadre du travail;Déplacements
Transports de personnes;Employés;Professionnels;Train;Distances parcourues par passager;;;Déplacements des employés dans la cadre du travail;Déplacements
Transports de personnes;Employés;Professionnels;Bateau;Distances parcourues par passager;;;Déplacements des employés dans la cadre du travail;Déplacements
Transports de personnes;Employés;Professionnels;Autobus urbains;Distances parcourues par passager;;;Déplacements des employés dans la cadre du travail;Déplacements
Transports de personnes;Employés;Domicile travail;Voiture;Distances parcourues par véhicule;;;Déplacements domicile travail;Déplacements
Transports de personnes;Visiteurs et clients;Clients;Moto;Distances parcourues par véhicule;;;Déplacements visiteurs;Déplacements
Transports de personnes;Employés;Domicile travail;Voiture;Consommations de carburants;;;Déplacements domicile travail;Déplacements
Transports de personnes;Employés;Domicile travail;Autobus urbains;Distances parcourues par véhicule;;;Déplacements domicile travail;Déplacements
Utilisation des produits et services;Consommation d'énergie;Combustibles organiques;Bois et paille;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Consommation d'énergie;Combustibles organiques;Autres combustibles;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Consommation d'énergie;Electricité - consommation;Par usage;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Consommation d'énergie;Electricité - consommation;Moyenne;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Consommation d'énergie;Réseaux chaleur;Tous types;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Consommation d'énergie;Réseaux froid;Tous types;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Consommation d'énergie;Fossiles solides;Tous types;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Consommation d'énergie;Fossiles gazeux;Autres gaz;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Consommation d'énergie;Fossiles gazeux;Gaz naturel;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Consommation d'énergie;Fossiles gazeux;Butane / propane;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Consommation d'énergie;Electricité - productIon;Sources non renouvelables;Production totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Métaux;Métaux ferreux;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Métaux;Métaux non ferreux;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Plastiques;Autres usages;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Plastiques;Emballages;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Papier;Toutes catégories;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Papier;Papier bureautique;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Carton;Carton emballage;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Carton;Autres cartons;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Verre;Toutes catégories;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Produits chimiques;Acides;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Produits chimiques;Engrais et phytosanitaires;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Produits chimiques;Autres produits chimiques;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Matériaux de construction;Bâtiments;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Matériaux de construction;Routier;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Produits agricoles;Boissons;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Produits agricoles;Huiles;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Produits agricoles;Aliments transformés et plats préparés;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Produits agricoles;Produits végétaux (non transformés);Autres;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Produits agricoles;Produits végétaux (non transformés);Légumes;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Produits agricoles;Produits végétaux (non transformés);Noix;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Produits agricoles;Produits végétaux (non transformés);Céréales;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Produits agricoles;Produits végétaux (non transformés);Fruits;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Autres produits;Toutes catégories;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Emissions non énergétiques;Toutes sources;Fuites de N2O;Recharges de gaz;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Emissions non énergétiques;Toutes sources;Fuites gaz frigorigènes (climatisation);Recharges de gaz;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Emissions non énergétiques;Toutes sources;Fuites gaz frigorigènes (groupes froid);Recharges de gaz;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Emissions non énergétiques;Toutes sources;Emissions de N2O - Autres;Emissions totales;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Emissions non énergétiques;Toutes sources;Emissions de méthane;Emissions totales de CH4 biogénique;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Emissions non énergétiques;Toutes sources;Emissions de méthane;Emissions totales de CH4 fossile;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Matériaux ou produits;Produits agricoles;Produits animaux;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Consommation d'énergie;Electricité - productIon;Sources renouvelables;Production totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
Utilisation des produits et services;Consommation d'énergie;Fossiles liquides;Tous types;Consommation totale;;;Utilisation en responsabilité + Utilisation en dépendance;Utilisation et Dépendance
